上海頻道,#genre#
深圳卫视,http://39.135.34.150:8080/000000001000/1000000001000011645/1.m3u8?#http://183.207.248.71:80/cntv/live1/HD-2500k-1080P-shenzhenstv/HD-2500k-1080P-shenzhenstv#http://39.134.24.24/PLTV/88888888/224/3221225843/index.m3u8#http://39.134.24.24/PLTV/88888888/224/3221225764/index.m3u8#http://39.134.24.24/PLTV/88888888/224/3221225590/index.m3u8
湖北卫视,http://183.207.248.71:80/cntv/live1/HD-2500k-1080P-hubeistv/HD-2500k-1080P-hubeistv#http://39.134.24.24/PLTV/88888888/224/3221225674/index.m3u8#http://183.207.248.71:80/cntv/live1/HD-2500k-1080P-hubeistv/HD-2500k-1080P-hubeistv#http://39.134.24.24/PLTV/88888888/224/3221225674/index.m3u8
山东卫视,http://39.135.34.150:8080/000000001000/1000000001000012807/1.m3u8?#http://183.207.248.71:80/cntv/live1/HD-2500k-1080P-shandongstv/HD-2500k-1080P-shandongstv#http://39.134.24.24/PLTV/88888888/224/3221225841/index.m3u8#http://39.134.24.24/PLTV/88888888/224/3221225796/index.m3u8
江西卫视,http://39.135.34.150:8080/000000001000/1000000001000013731/1.m3u8?#http://183.207.248.71:80/cntv/live1/jiangxistv/jiangxistv#http://39.134.24.24/PLTV/88888888/224/3221225682/index.m3u8
河北卫视,http://183.207.248.71:80/cntv/live1/n-hebeistv/n-hebeistv#http://39.134.24.24/PLTV/88888888/224/3221225744/index.m3u8
河南卫视,http://39.134.24.24/PLTV/88888888/224/3221225716/index.m3u8
龙江卫视,http://183.207.248.71:80/cntv/live1/HD-8000k-1080P-heilongjiangstv/HD-8000k-1080P-heilongjiangstv#http://39.134.24.24/PLTV/88888888/224/3221225690/index.m3u8
吉林卫视,http://39.134.24.24/PLTV/88888888/224/3221225804/index.m3u8
康巴卫视,http://183.207.248.71:80/cntv/live1/SD-4000k-576P-kambatv/SD-4000k-576P-kambatv
辽宁卫视,http://39.134.24.24/PLTV/88888888/224/3221225726/index.m3u8
内蒙卫视,http://39.134.24.24/PLTV/88888888/224/3221225626/index.m3u8
宁夏卫视,http://183.207.248.71:80/cntv/live1/n-ningxiastv/n-ningxiastv#http://39.134.24.24/PLTV/88888888/224/3221225730/index.m3u8
青海卫视,http://39.134.24.24/PLTV/88888888/224/3221225875/index.m3u8#http://183.207.248.71:80/cntv/live1/n-qinghaistv/n-qinghaistv#http://39.134.24.24/PLTV/88888888/224/3221225606/index.m3u8
山西卫视,http://39.134.24.24/PLTV/88888888/224/3221225738/index.m3u8
农林卫视,http://39.134.24.24/PLTV/88888888/224/3221225877/index.m3u8
陕西卫视,http://183.207.248.71:80/cntv/live1/n-shanxi1stv/n-shanxi1stv
四川卫视,http://183.207.248.71:80/cntv/live1/n-sichuanstv/n-sichuanstv#http://39.134.24.24/PLTV/88888888/224/3221225704/index.m3u8
天津卫视,http://183.207.248.71:80/cntv/live1/HD-2500k-1080P-tianjinstv/HD-2500k-1080P-tianjinstv
西藏卫视,http://183.207.248.71:80/cntv/live1/n-xizangstv/n-xizangstv
兵团卫视,http://39.134.24.24/PLTV/88888888/224/3221225869/index.m3u8
新疆卫视,http://39.134.24.24/PLTV/88888888/224/3221225790/index.m3u8
云南卫视,http://183.207.248.71:80/cntv/live1/n-yntv1/n-yntv1#http://39.134.24.24/PLTV/88888888/224/3221225696/index.m3u8
咪咕頻道,#genre#
咪咕体育一,http://39.134.66.66/PLTV/88888888/224/3221225613/index.m3u8
咪咕体育二,http://39.134.66.66/PLTV/88888888/224/3221225615/index.m3u8
咪咕体育三,http://39.134.66.66/PLTV/88888888/224/3221225617/index.m3u8
咪咕体育四,http://39.134.66.66/PLTV/88888888/224/3221225618/index.m3u8
咪咕体育五,http://39.134.66.66/PLTV/88888888/224/3221225619/index.m3u8
咪咕体育六,http://39.134.66.66/PLTV/88888888/224/3221225620/index.m3u8
咪咕体育七,http://39.134.66.66/PLTV/88888888/224/3221225621/index.m3u8
咪咕体育八,http://39.134.66.66/PLTV/88888888/224/3221225622/index.m3u8
咪咕体育九,http://39.134.66.66/PLTV/88888888/224/3221225638/index.m3u8
NewTV頻道,#genre#
爱情喜剧,http://183.207.248.71:80/cntv/live1/n-aiqingxj/n-aiqingxj
潮妈辣婆,http://183.207.248.71:80/cntv/live1/n-cmlapo/n-cmlapo
动作电影,http://183.207.248.71:80/cntv/live1/n-dongzuody/n-dongzuody
古装剧场,http://183.207.248.71:80/cntv/live1/n-guzhuangjc/n-guzhuangjc
黑莓电竞,http://183.207.248.71:80/cntv/live1/wmyx/wmyx
黑莓电影,http://183.207.248.71:80/cntv/live1/HD-8000k-1080P-Supermovie/HD-8000k-1080P-Supermovie
黑莓动画,http://183.207.248.71:80/cntv/live1/donghuawg/donghuawg
家庭剧场,http://183.207.248.71:80/cntv/live1/n-jiatingjc/n-jiatingjc
金牌综艺,http://183.207.248.71:80/cntv/live1/n-saishijx/n-saishijx
精品大剧,http://183.207.248.71:80/cntv/live1/n-jdaju/n-jdaju
精品体育,http://183.207.248.71:80/cntv/live1/n-jtiyu/n-jtiyu
精品综合,http://183.207.248.71:80/cntv/live1/n-mingxingdp/n-mingxingdp
军旅剧场,http://183.207.248.71:80/cntv/live1/n-junlvjc/n-junlvjc
军事评论,http://183.207.248.71:80/cntv/live1/n-junshipl/n-junshipl
农业致富,http://183.207.248.71:80/cntv/live1/n-nongyezf/n-nongyezf
热播精选,http://183.207.248.71:80/cntv/live1/n-xiqumd/n-xiqumd
中国功夫,http://183.207.248.71:80/cntv/live1/n-gzkongfu/n-gzkongfu

